job_title,job_url,company,company_url,rating,reviews,experience,salary,location,description,tags,posted
Automation testing_ P,https://www.naukri.com/job-listings-automation-testing-p-infosys-pune-bengaluru-mumbai-all-areas-3-to-8-years-290925015630,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,3.5,45575.0,3-8 Yrs,,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","and build POCs You will create requirement specifications from the business needs, defi...",Automation Testing;Selenium Automation;Java Selenium;P;Software testing;Automation;Java;Selenium,1 day ago
Production Support Analyst,https://www.naukri.com/job-listings-production-support-analyst-citiustech-pune-bengaluru-mumbai-all-areas-5-to-10-years-271025024091,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,3.2,1908.0,5-10 Yrs,,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",ITIL Foundation certificationExperience in enterprise environments with 24x7 support re...,Opentext;HP OpenView;Production Support;UCM;L2 Support;L2;Production,1 day ago
SAP TM Functional Lead,https://www.naukri.com/job-listings-sap-tm-functional-lead-capgemini-pune-bengaluru-mumbai-all-areas-10-to-20-years-281025012422,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,3.7,49625.0,10-20 Yrs,,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Key responsibilitiesLeadership: Lead end-to-end SAP TM implementation projects, manage...",Sap Transportation Management;Transport Management System;Sap Hana;Leadership;Transportation;SAP;System;Transport management,Just now
Sap Sd Lead,https://www.naukri.com/job-listings-sap-sd-lead-capgemini-pune-bengaluru-mumbai-all-areas-10-to-20-years-281025013113,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,3.7,49625.0,10-20 Yrs,,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Bachelors degree in a related field (e.g., Information Technology, Computer Science)Sig...",SAP SD;Sales And Distribution;S4 HANA;Distribution;Saps;Sales;SAP S Hana;SAP,Just now
Urgent Hiring For SAP CFIN Senior level Consultant,https://www.naukri.com/job-listings-urgent-hiring-for-sap-cfin-senior-level-consultant-capgemini-pune-bengaluru-mumbai-all-areas-4-to-9-years-271025021268,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,3.7,49625.0,4-9 Yrs,,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",SAP CFIN (Central Finance) JD Job Overview:We are looking for a skilled SAP Central Fin...,Sap Central Finance;Sap Hana;SAP Implementation;SAP CFIN;Central Finance;SAP consulting;SAP;SAP C4c,1 day ago
Java Full Stack Developer,https://www.naukri.com/job-listings-java-full-stack-developer-citiustech-pune-bengaluru-mumbai-all-areas-5-to-8-years-281025013134,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,3.2,1908.0,5-8 Yrs,,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Job description . Role & responsibilities . Must Have experience Spring Framework, Spri...",Java;Angular;Java Fullstack;Full Stack;Development;Stack,Just now
SAP IBP Lead,https://www.naukri.com/job-listings-sap-ibp-lead-capgemini-pune-bengaluru-mumbai-all-areas-10-to-20-years-281025012673,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,3.7,49625.0,10-20 Yrs,,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Required skills and qualifications  Technical skills: Deep knowledge of SAP IBP configu...,Sap Ibp;Sap Ibp Implementation;Integrated Business Planning;Ibp;SAP;Business planning;Saps;Integration,Just now
Linux Support Engineer,https://www.naukri.com/job-listings-linux-support-engineer-citiustech-pune-bengaluru-mumbai-all-areas-3-to-7-years-261025000123,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,3.2,1908.0,3-7 Yrs,,"Pune, Bengaluru, Mumbai (All Areas)",Willing to work in shifts Initially it will be US working hours across the US Time-zone...,Windows OS;SQL Server;Linux Support;Linux;Application Support;Production Support;L2 Support;L2,2 days ago
SAP PS (Project System) Senior Consultant/ Lead,https://www.naukri.com/job-listings-sap-ps-project-system-senior-consultant-lead-capgemini-mumbai-pune-bengaluru-6-to-11-years-271025021341,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,3.7,49625.0,6-11 Yrs,,"Mumbai, Pune, Bengaluru",S / 4HANA and global rollout exposure preferred . What youll love about working with us...,sap;sap ps;sap s hana;sd;stakeholder engagement;purchase;sap sd;logistics,1 day ago
SAP TM Lead Consultant,https://www.naukri.com/job-listings-sap-tm-lead-consultant-capgemini-pune-bengaluru-mumbai-all-areas-10-to-17-years-271025004748,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,3.7,49625.0,10-17 Yrs,,"Pune, Bengaluru, Mumbai (All Areas)",Minimum 1 end-to-end implementation projectMaster Data Management: Manage master data r...,Sap Transportation Management;TM;Sap Tm;Management;SAP;Transportation;Consulting;Transport management,1 day ago
