status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Machine Learning Developer,Elliot Partnership,"New York, NY",2025-09-14,"Successful candidates will have a strong knowledge of software engineering, machine learning, and open-source machine learning ecosystems. Machine learning developers work closely with researchers to…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=859e614e7a06f3bb,IndeedScraperUSAEng_859e614e7a06f3bb,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$500000 - $700000 yearly,UNKNOWN
NEW,"Software Development Engineer, Machine Learning & Biometrics",CLEAR - Corporate,"New York, NY 10019",2025-09-25,"2+ years of experience and/or formal training in computer vision, machine learning and biometrics. Leverage computer vision and machine learning to develop, deliver and enhance biometric features to…","Benefits: Health insurance, Adoption assistance, RSU, 401(k) matching",https://www.indeed.com/m/viewjob?jk=82cdd14c583377a7,IndeedScraperUSAEng_82cdd14c583377a7,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$150000 - $180000 yearly,UNKNOWN
NEW,Machine Learning: Natural Language Processing Engineer,Primordial Labs,"New Haven, CT 06510",2025-10-01,"As a company co-founded and led by engineers, we are focused on developer experience. We’re a distributed team of engineers, operators, and technologists focused on deploying reliable autonomy at the…","Remote: Remote
Benefits: Health insurance, Paid time off",https://www.indeed.com/m/viewjob?jk=ee7892744aaa0af8,IndeedScraperUSAEng_ee7892744aaa0af8,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$120000 - $180000 yearly,FULLY_REMOTE
NEW,Java Developer,Tradeweb Markets,"Jersey City, NJ",2025-09-14,"Collaborate with clients to create and build solutions that drive efficiency, connectivity, and transparency in electronic trading. Tradeweb Direct is seeking a mid-level Java Developer with strong…","Job types: Full-time
Remote: Remote
Benefits: Dental insurance, 401(k), Flexible spending account, Commuter assistance, Employee assistance program, 401(k) matching, Tuition reimbursement, Vision insurance, Parental leave, Gym membership, Health insurance, Travel reimbursement, Adoption assistance, Pet insurance, Paid time off
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=b1b7b031c6a15981,IndeedScraperUSAEng_b1b7b031c6a15981,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$150000 - $250000 yearly,FULLY_REMOTE
NEW,Python / C++ Quant Developer,J.K. Barnes,"New York, NY",2025-09-14,"Integrate with cloud infrastructure providers to tackle storage and compute challenges across large datasets and parallel computations. Design, develop, and deploy elegant software solutions across…",,https://www.indeed.com/m/viewjob?jk=c643e939075c05ae,IndeedScraperUSAEng_c643e939075c05ae,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$300000 - $500000 yearly,UNKNOWN
NEW,Machine Learning Engineer II,Uber,"New York, NY",2025-09-17,"Leverage cutting-edge ML techniques (deep learning, probabilistic modeling, reinforcement learning, etc.) to continuously refine marketplace signals. In this role, you will be able to use your strong…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=41aa4b0817b36e2d,IndeedScraperUSAEng_41aa4b0817b36e2d,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$167000 - $185500 yearly,UNKNOWN
NEW,Software Engineer – Machine Vision – Python – AI,Sciotex,"Philadelphia, PA",2025-09-14,Sciotex is looking for skilled AI oriented software engineers for machine vision systems development projects. You will work with our engineering team to design and develop the machine vision and…,"Benefits: Relocation assistance, Flexible schedule",https://www.indeed.com/m/viewjob?jk=4a60730549a34488,IndeedScraperUSAEng_4a60730549a34488,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,,UNKNOWN
NEW,"Software Engineer, Machine Learning",Facebook App,"New York, NY",2025-09-14,"Experience with developing machine learning models at scale from inception to business impact. 2+ years of experience in one or more of the following areas: machine learning, recommendation systems,…",,https://www.indeed.com/m/viewjob?jk=5de6f049f8c6ead9,IndeedScraperUSAEng_5de6f049f8c6ead9,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$70.67 - $70.67 hourly,UNKNOWN
NEW,Full Python Stack Developer,Intone Networks,"New York, NY",2025-09-25,"Role: Full Python Stack Developer (Django + Angular or Flask + SQL) Location: NYC, NY (On-site) Duration: 12+ Months contract (Extendable).","Job types: Contract
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=087a04054463498a,IndeedScraperUSAEng_087a04054463498a,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,,UNKNOWN
NEW,Machine Learning Engineer - Apple Services Engineering,Apple,"New York, NY 10007",2025-09-30,"Wonder how Apple's Media Products show relevant and rich Discovery experiences covering search, browse and recommendations for Apple's media offerings - including App Store, Apple TV, Apple Music,…","Benefits: Dental insurance, Health insurance, Employee stock purchase plan, RSU, Retirement plan",https://www.indeed.com/m/viewjob?jk=9445410c30d45676,IndeedScraperUSAEng_9445410c30d45676,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$181100 - $272100 yearly,UNKNOWN
NEW,Machine Learning Scientist,Columbia University,"New York, NY",2025-10-09,"Stay current with the ultrafast-paced nature of biomolecular machine learning. Ph.D. in computer science / machine learning, computational biology, or related quantitative fields.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=d8c201f162759c52,IndeedScraperUSAEng_d8c201f162759c52,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$155000 - $230000 yearly,UNKNOWN
NEW,Machine Learning Engineer (NYC),Output Biosciences,"New York, NY",2025-09-14,You have experience applying machine learning to biology or chemistry. You have experience optimizing machine learning models for high-performance computing environments.,"Job types: Full-time
Benefits: Dental insurance, Health insurance, Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=b41d90cb0d2d81c7,IndeedScraperUSAEng_b41d90cb0d2d81c7,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$110000 - $250000 yearly,UNKNOWN
status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Lead Software Engineer - Back End Java or Python,JPMorganChase,"New York, NY 10001",2025-10-09,"As a core technical contributor, you are responsible for conducting critical technology solutions across multiple technical areas within various business functions in support of the firm’s business…","Job types: Full-time
Benefits: Health insurance
 Tuition reimbursement
 Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=84ae5aca249e4c4e,IndeedScraperUSAEng_84ae5aca249e4c4e,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$152000 - $215000 yearly,UNKNOWN
